anldt,anlrst,obsrvtcd,obsrvtnm,ugrwtrl,,¿¬¿ù,Æò±Õ,¿¬µµ,Æò±Õ2
20191120,0,11749,µ¿ÇØ±Í¿î,69,,,,,
20191121,0,11749,µ¿ÇØ±Í¿î,69,,,,,
20191122,0,11749,µ¿ÇØ±Í¿î,68,,,,,
20191123,0,11749,µ¿ÇØ±Í¿î,67,,,,,
20191124,0,11749,µ¿ÇØ±Í¿î,67,,,,,
20191125,0,11749,µ¿ÇØ±Í¿î,67,,,,,
20191126,0,11749,µ¿ÇØ±Í¿î,70,,,,,
20191127,0,11749,µ¿ÇØ±Í¿î,70,,,,,
20191128,0,11749,µ¿ÇØ±Í¿î,71,,,,,
20191129,0,11749,µ¿ÇØ±Í¿î,73,,,,,
20191130,0,11749,µ¿ÇØ±Í¿î,76,,,,,
20191201,0,11749,µ¿ÇØ±Í¿î,75,,,,,
20191202,0,11749,µ¿ÇØ±Í¿î,7.833,,,,,
20191203,0,11749,µ¿ÇØ±Í¿î,7.777,,,,,
20191204,0,11749,µ¿ÇØ±Í¿î,7.708,,,,,
20191205,0,11749,µ¿ÇØ±Í¿î,7.742,,,,,
20191206,0,11749,µ¿ÇØ±Í¿î,7.676,,,,,
20191207,0,11749,µ¿ÇØ±Í¿î,7.628,,,,,
20191208,0,11749,µ¿ÇØ±Í¿î,7.612,,,,,
20191209,0,11749,µ¿ÇØ±Í¿î,7.597,,,,,
20191210,0,11749,µ¿ÇØ±Í¿î,7.582,,,,,
20191211,0,11749,µ¿ÇØ±Í¿î,7.566,,,,,
20191212,0,11749,µ¿ÇØ±Í¿î,7.566,,,,,
20191213,0,11749,µ¿ÇØ±Í¿î,7.458,,,,,
20191214,0,11749,µ¿ÇØ±Í¿î,7.409,,,,,
20191215,0,11749,µ¿ÇØ±Í¿î,7.426,,,,,
20191216,0,11749,µ¿ÇØ±Í¿î,7.357,,,,,
20191217,0,11749,µ¿ÇØ±Í¿î,7.357,,,,,
20191218,0,11749,µ¿ÇØ±Í¿î,7.409,,,,,
20191219,0,11749,µ¿ÇØ±Í¿î,7.474,,,,,
20191220,0,11749,µ¿ÇØ±Í¿î,7.442,,,,,
20191221,0,11749,µ¿ÇØ±Í¿î,7.299,,,,,
20191222,0,11749,µ¿ÇØ±Í¿î,7.232,,,,,
20191223,0,11749,µ¿ÇØ±Í¿î,7.179,,,,,
20191224,0,11749,µ¿ÇØ±Í¿î,7.116,,,,,
20191225,0,11749,µ¿ÇØ±Í¿î,7.038,,,,,
20191226,0,11749,µ¿ÇØ±Í¿î,6.993,,,,,
20191227,0,11749,µ¿ÇØ±Í¿î,6.892,,,,,
20191228,0,11749,µ¿ÇØ±Í¿î,6.838,,,,,
20191229,0,11749,µ¿ÇØ±Í¿î,6.726,,,,,
20191230,0,11749,µ¿ÇØ±Í¿î,6.667,,,,,
20191231,0,11749,µ¿ÇØ±Í¿î,6.607,,,,,
20200101,0,11749,µ¿ÇØ±Í¿î,6.477,,,,,
20200102,0,11749,µ¿ÇØ±Í¿î,6.407,,,,,
20200103,0,11749,µ¿ÇØ±Í¿î,6.335,,,,,
20200104,0,11749,µ¿ÇØ±Í¿î,6.258,,,,,
20200105,0,11749,µ¿ÇØ±Í¿î,6.084,,,,,
20200106,0,11749,µ¿ÇØ±Í¿î,6.176,,,,,
20200107,0,11749,µ¿ÇØ±Í¿î,6.084,,,,,
20200108,0,11749,µ¿ÇØ±Í¿î,7.299,,,,,
20200109,0,11749,µ¿ÇØ±Í¿î,7.628,,,,,
20200110,0,11749,µ¿ÇØ±Í¿î,7.708,,,,,
20200111,0,11749,µ¿ÇØ±Í¿î,7.725,,,,,
20200112,0,11749,µ¿ÇØ±Í¿î,7.725,,,,,
20200113,0,11749,µ¿ÇØ±Í¿î,7.708,,,,,
20200114,0,11749,µ¿ÇØ±Í¿î,7.692,,,,,
20200115,0,11749,µ¿ÇØ±Í¿î,7.676,,,,,
20200116,0,11749,µ¿ÇØ±Í¿î,7.676,,,,,
20200117,0,11749,µ¿ÇØ±Í¿î,7.659,,,,,
20200118,0,11749,µ¿ÇØ±Í¿î,7.644,,,,,
20200119,0,11749,µ¿ÇØ±Í¿î,7.628,,,,,
