발생장소_시도,발생원인_기타
경기,담뱃불실화
경기,성묘객실화
대구,미상
전남,입산자실화
충북,입산자실화
강원,낙뢰
전북,미상
전북,미상
강원,낙뢰
광주,미상
강원,입산자실화
전북,입산자실화
대구,입산자실화
경남,산나물채취자실화
경남,입산자실화
전남,입산자실화
전북,입산자실화
충북,입산자실화
경기,건축물실화
강원,입산자실화
전북,입산자실화
강원,입산자실화(담뱃불)
경기,입산자실화
충남,입산자실화
경북,입산자실화
경북,미상
경북,입산자실화
전남,입산자실화
경북,담뱃불실화
전남,입산자실화
전북,농산폐기물소각
부산,용접작업
충남,미상
경기,담뱃불실화
충남,입산자실화
경남,입산자실화
강원,생활쓰레기
경북,미상
충남,입산자실화
강원,미상
경기,담뱃불실화
전남,입산자실화
경북,용접작업
강원,밭두렁소각
전북,입산자실화
경북,쓰레기소각추정
강원,입산자실화
경기,입산자실화
경남,입산자실화
경남,미상
경기,미상
대전,입산자실화(담뱃불)
전남,쓰레기소각
강원,산림사업장
경기,입산자실화
강원,연탄재투기
경북,입산자실화
전남,입산자실화
경북,입산자실화
인천,입산자실화
경북,미상
충남,입산자실화
경기,미상
충남,입산자실화
충남,입산자실화
전북,입산자실화
전남,입산자실화
경북,입산자실화
전북,입산자실화
경북,작엄장실화
충남,입산자실화
전북,입산자실화
경기,건축물실화
전남,입산자실화
전남,입산자실화
충남,입산자실화
경기,용접불꽃
전남,입산자실화
경기,농산폐기물소각
경남,담뱃불실화
경북,성묘객실화
경기,성묘객실화
울산,담뱃불실화추정
경북,입산자실화
경기,숯불재투기
전북,성묘객실화
충북,(용접불씨
경남,농산부산물소각
경기,담뱃불실화
경기,담뱃불실화
경기,입산자실화
서울,미상
경기,쓰레기소각
경기,성묘객실화
충남,입산자실화
충남,담뱃불실화
강원,노후화된불발탄
강원,예초기불씨
경북,농산폐기물소각
강원,군 발물처리
경북,농산폐기물소각
경기,담뱃불실화
경북,쓰레기소각
경북,아궁이재처리부주의
경기,담뱃불실화
충남,쓰레기소각
전남,입산자실화
경남,미상
경기,공장화재
경남,농산부산물소각
전북,성묘객실화
전북,입산자실화
울산,비닐하우스누전
경기,입산자실화
강원,입산자실화
경북,절단작업불씨
충북,담뱃불실화
전북,밭두렁
경남,밭두렁
경북,쓰레기소각
경기,입산자실화
경기,고구마세척장전기누전
경기,농업부산물소각
경북,입산자실화
경기,미상
충남,입산자실화
전북,영농부산물소각
서울,입산자실화
경기,쓰레기소각
인천,농업부산물소각
전북,성묘객실화
경기,성묘객실화
경기,농산폐기물소각
경기,담뱃불실화
강원,농산폐기물소각
전남,입산자실화
경남,농산폐기물소각
