시도,피해시작일
강원도,2020
강원도,2020
강원도,2020
경상북도,2020
강원도,2020
강원도,2020
충청북도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
경상북도,2020
강원도,2020
전라남도,2020
강원도,2020
경기도,2020
강원도,2020
강원도,2020
경기도,2020
강원도,2020
강원도,2020
경상남도,2020
전라남도,2020
전라남도,2020
강원도,2020
강원도,2020
경기도,2020
강원도,2020
강원도,2020
강원도,2020
경기도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
전라남도,2020
경상남도,2020
전라남도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
강원도,2020
